Timestamp,Snow Depth (cm),Temperature (Â°C),Humidity (%),Energy (mW),Battery (%)
2025-06-29 05:11:48,3.6,-15.6,61.7,0.05,0.1
2025-06-29 06:11:48,41.41,-4.5,41.7,1.08,1.4
2025-06-29 07:11:48,30.4,-0.1,87.0,0.49,1.1
2025-06-29 08:11:48,39.77,-10.8,36.2,1.6,1.8
2025-06-29 09:11:48,47.89,0.1,75.2,0.9,1.0
2025-06-29 10:11:48,15.9,-10.0,48.1,0.46,0.9
2025-06-29 11:11:48,18.96,-6.7,63.5,0.93,2.8
2025-06-29 12:11:48,14.16,-12.0,78.2,0.38,0.9
2025-06-29 13:11:48,1.23,-10.4,62.4,0.03,0.0
2025-06-29 14:11:48,18.08,-4.5,87.6,0.74,1.2
2025-06-29 15:11:48,24.92,-15.8,57.5,0.86,1.7
2025-06-29 16:11:48,11.24,-12.4,87.1,0.13,0.4
2025-06-29 17:11:48,10.02,1.1,58.1,0.39,0.5
2025-06-29 18:11:48,5.05,-15.8,43.4,0.11,0.2
2025-06-29 19:11:48,1.01,-1.4,68.1,0.05,0.1
2025-06-29 20:11:48,7.09,-2.3,47.7,0.3,0.9
2025-06-29 21:11:48,13.01,-4.5,44.9,0.52,1.2
2025-06-29 22:11:48,1.69,-7.2,79.6,0.02,0.0
2025-06-29 23:11:48,47.19,-18.5,65.3,1.78,2.1
2025-06-30 00:11:48,39.48,-3.8,74.4,1.69,3.9
2025-06-30 01:11:48,25.86,1.2,85.4,0.31,0.9
2025-06-30 02:11:48,44.45,-10.7,37.4,1.78,2.2
2025-06-30 03:11:48,20.82,-2.5,89.7,0.31,0.9
2025-06-30 04:11:48,10.44,-9.5,74.9,0.15,0.3
2025-06-30 05:11:48,4.19,-5.1,51.5,0.19,0.5
2025-06-30 06:11:48,2.94,-7.0,69.4,0.04,0.1
2025-06-30 07:11:48,3.32,-8.2,52.8,0.09,0.2
2025-06-30 08:11:48,38.2,-15.7,71.4,1.26,2.5
2025-06-30 09:11:48,30.39,-14.7,69.0,0.57,0.6
2025-06-30 10:11:48,38.15,-4.5,66.5,1.66,3.8
2025-06-30 11:11:48,0.15,-4.9,50.5,0.0,0.0
2025-06-30 12:11:48,25.8,-11.9,75.4,0.94,1.9
2025-06-30 13:11:48,24.98,-16.7,76.7,1.02,1.1
2025-06-30 14:11:48,10.19,-0.9,85.5,0.17,0.4
2025-06-30 15:11:48,0.67,-18.5,87.0,0.03,0.0
2025-06-30 16:11:48,42.44,-11.9,49.5,1.92,3.0
2025-06-30 17:11:48,8.97,-17.4,47.4,0.23,0.4
2025-06-30 18:11:48,13.17,-12.7,78.9,0.27,0.6
2025-06-30 19:11:48,36.88,-17.8,69.7,1.38,3.3
2025-06-30 20:11:48,34.25,-9.3,32.1,0.68,1.4
2025-06-30 21:11:48,13.41,-3.4,75.9,0.37,0.6
2025-06-30 22:11:48,7.24,-15.2,70.5,0.19,0.3
2025-06-30 23:11:48,18.37,-10.2,81.6,0.2,0.4
2025-07-01 00:11:48,31.34,-1.4,70.6,0.47,0.9
2025-07-01 01:11:48,19.69,-12.2,51.5,0.59,0.7
2025-07-01 02:11:48,13.3,-13.1,54.9,0.49,1.3
2025-07-01 03:11:48,31.24,-12.4,80.9,0.92,1.7
2025-07-01 04:11:48,32.22,-1.1,76.4,1.27,2.4
2025-07-01 05:11:48,29.65,-16.6,86.1,0.94,2.7
2025-07-01 06:11:48,27.94,-19.9,66.8,1.02,1.3
